PLAYER,AGE,POS,TEAM,DATE,TYPE,EXTENSION,STRUCTURE,LENGTH,VALUE,CAP HIT,id
Valeri Nichushkin,24,"RW, LW",COL,2019,Stnd (UFA),0,1-way,1,850000.0,850000.0,ValeriNichushkin2019
Kevin Shattenkirk,30,RD,TBL,2019,Stnd (UFA),0,1-way,1,1750000.0,1750000.0,KevinShattenkirk2019
Ben Hutton,26,LD,LAK,2019,Stnd (UFA),0,1-way,1,1500000.0,1500000.0,BenHutton2019
Michael Stone,29,RD,CGY,2019,Stnd (UFA),0,1-way,1,700000.0,700000.0,MichaelStone2019
Joe Thornton,39,"C, LW",SJS,2019,35+ (UFA),0,1-way,1,2000000.0,2000000.0,JoeThornton2019
Jake Gardiner,28,LD,CAR,2019,Stnd (UFA),0,1-way,4,16200000.0,4050000.0,JakeGardiner2019
Riley Sheahan,27,"LW, C",EDM,2019,Stnd (UFA),0,1-way,1,900000.0,900000.0,RileySheahan2019
Luca Sbisa,29,LD,ANA,2019,Stnd (UFA),0,1-way,1,750000.0,750000.0,LucaSbisa2019
Brian Boyle,34,"LW, C",FLA,2019,Stnd (UFA),0,1-way,1,940000.0,940000.0,BrianBoyle2019
Chris Stewart,31,"RW, LW",PHI,2019,Stnd (UFA),0,1-way,1,750000.0,753757.0,ChrisStewart2019
Justin Williams,37,RW,CAR,2020,35+ (UFA),0,1-way,1,2000000.0,700000.0,JustinWilliams2020
Zach Bogosian,28,RD,TBL,2020,Stnd (UFA),0,1-way,1,1300000.0,1300000.0,ZachBogosian2020
Marc Michaelis,24,"LW, C",VAN,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,MarcMichaelis2020
Kodie Curran,30,LD,ANA,2020,Stnd (UFA),0,1-way,2,2000000.0,1000000.0,KodieCurran2020
Mikhail Grigorenko,26,"C, LW",CBJ,2020,Stnd (UFA),0,1-way,1,1200000.0,1200000.0,MikhailGrigorenko2020
Patrick Maroon,32,"LW, RW",TBL,2020,Stnd (UFA),0,1-way,2,1800000.0,900000.0,PatrickMaroon2020
Luke Schenn,30,RD,TBL,2020,Stnd (UFA),0,1-way,1,800000.0,800000.0,LukeSchenn2020
Alex Galchenyuk,26,"LW, C, RW",OTT,2020,Stnd (UFA),0,1-way,1,1050000.0,1050000.0,AlexGalchenyuk2020
Josh Leivo,27,"RW, LW",CGY,2020,Stnd (UFA),0,1-way,1,875000.0,875000.0,JoshLeivo2020
Nikita Nesterov,27,LD,CGY,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,NikitaNesterov2020
Dominik Simon,25,"RW, LW",CGY,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,DominikSimon2020
Dmitry Kulikov,29,LD/RD,NJD,2020,Stnd (UFA),0,1-way,1,1150000.0,1150000.0,DmitryKulikov2020
Joakim Nordström,28,"LW, RW",CGY,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,JoakimNordström2020
Cody Ceci,26,RD,PIT,2020,Stnd (UFA),0,1-way,1,1250000.0,1250000.0,CodyCeci2020
Joe Thornton,40,"C, LW",TOR,2020,35+ (UFA),0,1-way,1,700000.0,700000.0,JoeThornton2020
Evgeni Dadonov,31,"RW, LW",OTT,2020,Stnd (UFA),0,1-way,3,15000000.0,5000000.0,EvgeniDadonov2020
Aaron Dell,31,G,TOR,2020,Stnd (UFA),0,1-way,1,800000.0,800000.0,AaronDell2020
Patrick Marleau,40,"LW, C",SJS,2020,35+ (UFA),0,1-way,1,700000.0,700000.0,PatrickMarleau2020
Matt Nieto,27,"LW, RW",SJS,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,MattNieto2020
Lucas Wallmark,24,C,CHI,2020,Stnd (UFA),0,1-way,1,950000.0,950000.0,LucasWallmark2020
Alex Pietrangelo,30,RD,VGK,2020,Stnd (UFA),0,1-way,7,61600000.0,8800000.0,AlexPietrangelo2020
Brad Richardson,35,C,NSH,2020,35+ (UFA),0,1-way,1,1000000.0,1000000.0,BradRichardson2020
Tyler Toffoli,28,"RW, LW",MTL,2020,Stnd (UFA),0,1-way,4,17000000.0,4250000.0,TylerToffoli2020
Erik Gustafsson,28,LD,PHI,2020,Stnd (UFA),0,1-way,1,3000000.0,3000000.0,ErikGustafsson2020
Mattias Janmark,27,"LW, RW",CHI,2020,Stnd (UFA),0,1-way,1,2250000.0,2250000.0,MattiasJanmark2020
Jimmy Vesey,27,"RW, LW",TOR,2020,Stnd (UFA),0,1-way,1,900000.0,900000.0,JimmyVesey2020
Taylor Hall,28,LW,BUF,2020,Stnd (UFA),0,1-way,1,8000000.0,8000000.0,TaylorHall2020
Derek Forbort,28,LD,WPG,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,DerekForbort2020
Kyle Clifford,29,LW,STL,2020,Stnd (UFA),0,1-way,2,2000000.0,1000000.0,KyleClifford2020
Vladislav Namestnikov,27,"LW, RW, C",DET,2020,Stnd (UFA),0,1-way,2,4000000.0,2000000.0,VladislavNamestnikov2020
Travis Boyd,26,"C, RW",TOR,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,TravisBoyd2020
Zach Bogosian,29,RD,TOR,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,ZachBogosian2020
Jesper Fast,28,RW,CAR,2020,Stnd (UFA),0,1-way,3,6000000.0,2000000.0,JesperFast2020
Tyson Barrie,28,RD,EDM,2020,Stnd (UFA),0,1-way,1,3750000.0,3750000.0,TysonBarrie2020
Mike Smith,38,G,EDM,2020,35+ (UFA),0,1-way,1,2000000.0,1500000.0,MikeSmith2020
Tomas Jurco,27,"RW, LW",VGK,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,TomasJurco2020
Paul LaDue,27,RD,WSH,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,PaulLaDue2020
Trevor van Riemsdyk,28,RD,WSH,2020,Stnd (UFA),0,1-way,1,800000.0,800000.0,TrevorvanRiemsdyk2020
Mikko Koivu,37,C,CBJ,2020,35+ (UFA),0,1-way,1,1750000.0,1500000.0,MikkoKoivu2020
Cody Eakin,29,C,BUF,2020,Stnd (UFA),0,1-way,2,4500000.0,2250000.0,CodyEakin2020
Johan Larsson,27,"C, LW",ARI,2020,Stnd (UFA),0,1-way,2,2800000.0,1400000.0,JohanLarsson2020
Nate Thompson,35,C,WPG,2020,35+ (UFA),0,1-way,1,750000.0,750000.0,NateThompson2020
Troy Stecher,26,RD,DET,2020,Stnd (UFA),0,1-way,2,3400000.0,1700000.0,TroyStecher2020
Thomas Greiss,34,G,DET,2020,Stnd (UFA),0,1-way,2,7200000.0,3600000.0,ThomasGreiss2020
Mark Pysyk,28,RD,DAL,2020,Stnd (UFA),0,1-way,1,750000.0,750000.0,MarkPysyk2020
Craig Smith,30,RW,BOS,2020,Stnd (UFA),0,1-way,3,9300000.0,3100000.0,CraigSmith2020
Andy Welinski,27,RD,ANA,2020,Stnd (UFA),0,1-way,1,750000.0,750000.0,AndyWelinski2020
Braden Holtby,30,G,VAN,2020,Stnd (UFA),0,1-way,2,8600000.0,4300000.0,BradenHoltby2020
John Hayden,25,"C, RW",ARI,2020,Stnd (UFA),0,1-way,1,750000.0,750000.0,JohnHayden2020
Mark Jankowski,25,"C, LW",PIT,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,MarkJankowski2020
Ryan Lomberg,25,LW,FLA,2020,Stnd (UFA),0,1-way,2,1450000.0,725000.0,RyanLomberg2020
Corey Crawford,35,G,NJD,2020,35+ (UFA),0,1-way,2,7800000.0,3900000.0,CoreyCrawford2020
Luca Sbisa,30,LD,WPG,2020,Stnd (UFA),0,1-way,1,800000.0,800000.0,LucaSbisa2020
Jon Merrill,28,LD,DET,2020,Stnd (UFA),0,1-way,1,925000.0,925000.0,JonMerrill2020
Anton Forsberg,27,G,EDM,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,AntonForsberg2020
Evan Rodrigues,26,"LW, C",PIT,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,EvanRodrigues2020
Nathan Beaulieu,27,LD/RD,WPG,2020,Stnd (UFA),0,1-way,2,2500000.0,1250000.0,NathanBeaulieu2020
Kevan Miller,32,RD,BOS,2020,Stnd (UFA),0,1-way,1,2000000.0,1250000.0,KevanMiller2020
Wayne Simmonds,31,"RW, LW",TOR,2020,Stnd (UFA),0,1-way,1,1500000.0,1500000.0,WayneSimmonds2020
TJ Brodie,30,LD/RD,TOR,2020,Stnd (UFA),0,1-way,4,20000000.0,5000000.0,TJBrodie2020
Torey Krug,29,LD,STL,2020,Stnd (UFA),0,1-way,7,45500000.0,6500000.0,ToreyKrug2020
Nick Cousins,26,"LW, C",NSH,2020,Stnd (UFA),0,1-way,2,3000000.0,1500000.0,NickCousins2020
Alexander Wennberg,25,C,FLA,2020,Stnd (UFA),0,1-way,1,2250000.0,2250000.0,AlexanderWennberg2020
Vinnie Hinostroza,26,"RW, LW",FLA,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,VinnieHinostroza2020
Matt Irwin,32,LD/RD,BUF,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,MattIrwin2020
Kevin Shattenkirk,31,RD,ANA,2020,Stnd (UFA),0,1-way,3,11700000.0,3900000.0,KevinShattenkirk2020
Tomas Nosek,27,"LW, C",VGK,2020,Stnd (UFA),0,1-way,1,1250000.0,1250000.0,TomasNosek2020
Carter Verhaeghe,24,LW,FLA,2020,Stnd (UFA),0,1-way,2,2000000.0,1000000.0,CarterVerhaeghe2020
Christopher Tanev,30,RD,CGY,2020,Stnd (UFA),0,1-way,4,18000000.0,4500000.0,ChristopherTanev2020
Derek Grant,30,"LW, C",ANA,2020,Stnd (UFA),0,1-way,3,4500000.0,1500000.0,DerekGrant2020
Tobias Rieder,27,"RW, LW",BUF,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,TobiasRieder2020
Jack Johnson,33,LD,NYR,2020,Stnd (UFA),0,1-way,1,1150000.0,1150000.0,JackJohnson2020
Justin Schultz,29,RD,WSH,2020,Stnd (UFA),0,1-way,2,8000000.0,4000000.0,JustinSchultz2020
Alan Quine,27,C,EDM,2020,Stnd (UFA),0,1-way,1,750000.0,750000.0,AlanQuine2020
Stefan Noesen,27,"LW, RW",SJS,2020,Stnd (UFA),0,1-way,1,925000.0,925000.0,StefanNoesen2020
Kevin Rooney,27,C,NYR,2020,Stnd (UFA),0,1-way,2,1500000.0,750000.0,KevinRooney2020
Keith Kinkaid,30,G,NYR,2020,Stnd (UFA),0,1-way,2,1650000.0,825000.0,KeithKinkaid2020
Jacob Markström,30,G,CGY,2020,Stnd (UFA),0,1-way,6,36000000.0,6000000.0,JacobMarkström2020
Tyler Pitlick,28,RW,ARI,2020,Stnd (UFA),0,1-way,2,3500000.0,1750000.0,TylerPitlick2020
Anton Khudobin,34,G,DAL,2020,Stnd (UFA),0,1-way,3,10000000.0,3333333.0,AntonKhudobin2020
Matthew Benning,26,RD,NSH,2020,Stnd (UFA),0,1-way,2,2000000.0,1000000.0,MatthewBenning2020
Buddy Robinson,28,RW,CGY,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,BuddyRobinson2020
Kyle Turris,30,"C, RW",EDM,2020,Stnd (UFA),0,1-way,2,3300000.0,1650000.0,KyleTurris2020
Cam Talbot,32,G,MIN,2020,Stnd (UFA),0,1-way,3,11000000.0,3666667.0,CamTalbot2020
Bobby Ryan,33,"RW, LW",DET,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,BobbyRyan2020
Radko Gudas,30,RD,FLA,2020,Stnd (UFA),0,1-way,3,7500000.0,2500000.0,RadkoGudas2020
Mark Borowiecki,30,LD,NSH,2020,Stnd (UFA),0,1-way,2,4000000.0,2000000.0,MarkBorowiecki2020
Tyler Ennis,30,"LW, RW",EDM,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,TylerEnnis2020
Henrik Lundqvist,38,G,WSH,2020,35+ (UFA),0,1-way,1,1500000.0,1500000.0,HenrikLundqvist2020
Malcolm Subban,26,G,CHI,2020,Stnd (UFA),0,1-way,2,1700000.0,850000.0,MalcolmSubban2020
Dominik Kahun,24,"LW, RW, C",EDM,2020,Stnd (UFA),0,1-way,1,975000.0,975000.0,DominikKahun2020
Zdeno Chara,43,LD,WSH,2020,35+ (UFA),0,1-way,1,1525000.0,795000.0,ZdenoChara2020
Derick Brassard,32,"C, LW",ARI,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,DerickBrassard2020
Andreas Athanasiou,25,"LW, RW",LAK,2020,Stnd (UFA),0,1-way,1,1200000.0,1200000.0,AndreasAthanasiou2020
Corey Perry,35,RW,MTL,2020,35+ (UFA),0,1-way,1,750000.0,750000.0,CoreyPerry2020
Carl Söderberg,34,"C, LW",CHI,2020,Stnd (UFA),0,1-way,1,1000000.0,1000000.0,CarlSöderberg2020
Slater Koekkoek,26,LD/RD,EDM,2020,Stnd (UFA),0,1-way,1,850000.0,850000.0,SlaterKoekkoek2020
Ryan Miller,39,G,ANA,2020,35+ (UFA),0,1-way,1,1000000.0,1000000.0,RyanMiller2020
Erik Haula,29,"C, LW",NSH,2020,Stnd (UFA),0,1-way,1,1750000.0,1750000.0,ErikHaula2020
Mikael Granlund,28,"C, RW",NSH,2020,Stnd (UFA),0,1-way,1,3750000.0,3750000.0,MikaelGranlund2020
Michael Frolík,32,"LW, RW",MTL,2020,Stnd (UFA),0,1-way,1,750000.0,750000.0,MichaelFrolík2020
Conor Sheary,28,"LW, RW",WSH,2020,Stnd (UFA),0,1-way,1,735000.0,735000.0,ConorSheary2020
Jan Rutta,29,LD/RD,TBL,2020,Stnd (UFA),0,1-way,2,2600000.0,1300000.0,JanRutta2020
Drake Caggiula,26,"LW, RW",ARI,2020,Stnd (UFA),0,1-way,1,700000.0,700000.0,DrakeCaggiula2020
Anthony Duclair,24,"LW, RW",FLA,2020,Stnd (UFA),0,1-way,1,1700000.0,1700000.0,AnthonyDuclair2020
